Settlement,Main_Dmg,X,Y
Ait Othmane,Possible damage,-8.39297,31.15565
Ait Othmane,Possible damage,-8.35813,31.10656
Ait Othmane,Possible damage,-8.35861,31.10641
Ait Othmane,Damage,-8.3586,31.10793
Ait Othmane,Damage,-8.3584,31.10622
Ait Othmane,Damage,-8.35813,31.10676
Ait Othmane,Damage,-8.36245,31.11136
Ait Othmane,Damage,-8.36863,31.10804
Ait Othmane,Possible damage,-8.37042,31.10798
Ait Othmane,Possible damage,-8.37675,31.10627
Ait Othmane,Possible damage,-8.32144,31.10641
Ait Othmane,Damage,-8.322,31.10629
Ait Othmane,Damage,-8.32077,31.10656
Ait Othmane,Damage,-8.32065,31.10655
Ait Othmane,Possible damage,-8.32083,31.10585
Ait Othmane,Possible damage,-8.32069,31.10599
Ait Othmane,Possible damage,-8.32191,31.10692
Ait Othmane,Damage,-8.32227,31.10702
